id,text
1,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
2,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
3,"Imho, this sux... totally not kewl!! 😑 #fail"
4,wanna go out 2nite?? hmu @ 8 😉💃
5,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
6,dis app iz buggin out 😩 gonna uninstall... asap
7,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
8,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
9,"rly enjoyed the party last nite, thx 4 the invite!! 😊🎉"
10,dis app iz buggin out 😩 gonna uninstall... asap
11,"yo, dat app iz dope af!! 🔥🔥🔥 visit app.site"
12,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
13,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
14,ikr!!! u always kno how 2 cheer me up 🥲❤️
15,ikr!!! u always kno how 2 cheer me up 🥲❤️
16,"LOL, u r the best!! 😂 <div>Gr8 job!</div>"
17,wanna go out 2nite?? hmu @ 8 😉💃
18,"Imho, this sux... totally not kewl!! 😑 #fail"
19,"Imho, this sux... totally not kewl!! 😑 #fail"
20,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
21,"Imho, this sux... totally not kewl!! 😑 #fail"
22,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
23,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
24,wanna go out 2nite?? hmu @ 8 😉💃
25,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
26,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
27,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
28,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
29,wanna go out 2nite?? hmu @ 8 😉💃
30,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
31,ikr!!! u always kno how 2 cheer me up 🥲❤️
32,dis app iz buggin out 😩 gonna uninstall... asap
33,dis app iz buggin out 😩 gonna uninstall... asap
34,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
35,ikr!!! u always kno how 2 cheer me up 🥲❤️
36,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
37,wanna go out 2nite?? hmu @ 8 😉💃
38,ikr!!! u always kno how 2 cheer me up 🥲❤️
39,dis app iz buggin out 😩 gonna uninstall... asap
40,"yo, dat app iz dope af!! 🔥🔥🔥 visit app.site"
41,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
42,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
43,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
44,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
45,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
46,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
47,dis app iz buggin out 😩 gonna uninstall... asap
48,OMG! I <b>luv</b> this!!! 😂😂 Check this out: https://example.com
49,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
